Artist: Cardi B  Streams: 44519875
Artist: Maluma  Streams: 37497532
Artist: 24kGoldn  Streams: 37448924
Artist: BTS  Streams: 28343499
Artist: The Weeknd  Streams: 26181061
Artist: Harry Styles  Streams: 26120174
Artist: Jawsh 685  Streams: 25664441
Artist: Drake  Streams: 24263826
Artist: DaBaby  Streams: 24141172
Artist: BLACKPINK  Streams: 19994113
Artist: Pop Smoke  Streams: 19167576
Artist: Conan Gray  Streams: 18431861
Artist: Joel Corry  Streams: 17724895
Artist: Pop Smoke  Streams: 17712509
Artist: Topic  Streams: 17663729
Artist: SAINt JHN  Streams: 17619610
Artist:  DiOs M?o!"  Streams: KAROL G
Artist:  Don Toliver & NAV)"  Streams: Internet Money
Artist: J Balvin  Streams: 15604712
Artist: DJ Khaled  Streams: 14977351
Artist: Jay Wheeler  Streams: 14735180
Artist: Ozuna  Streams: 14520825
Artist: Juice WRLD  Streams: 14466571
Artist: Tate McRae  Streams: 14144803
Artist: Tones And I  Streams: 14033358
Artist: Nio Garcia  Streams: 13954221
Artist: Rauw Alejandro  Streams: 13778030
Artist: Lady Gaga  Streams: 13381395
Artist: Miley Cyrus  Streams: 13329803
Artist: Lewis Capaldi  Streams: 13135910
Artist: Sech  Streams: 12602120
Artist: Juice WRLD  Streams: 12563974
Artist: Lewis Capaldi  Streams: 12553921
Artist: Juice WRLD  Streams: 12486046
Artist:  Tory Lanez & Lil Wayne) - Remix"  Streams: Jack Harlow
Artist: Powfu  Streams: 12340202
Artist: Tainy  Streams: 12056457
Artist: DJ Khaled  Streams: 11773788
Artist: Chris Brown  Streams: 11683727
Artist: Sech  Streams: 11507291
Artist: Dua Lipa  Streams: 11198787
Artist: Lil Mosey  Streams: 11058413
Artist: BLACKPINK  Streams: 10766394
Artist: Dua Lipa  Streams: 10664080
Artist: Aya Nakamura  Streams: 10508296
Artist: Pop Smoke  Streams: 10444350
Artist: Jason Derulo  Streams: 10382451
Artist: Ava Max  Streams: 10373394
Artist: Surf Mesa  Streams: 10198156
Artist: Black Eyed Peas  Streams: 10111863
Artist: Ariana Grande  Streams: 10098648
Artist: Trueno  Streams: 9457640
Artist: Labrinth  Streams: 9434668
Artist: Drake  Streams: 9403019
Artist: Post Malone  Streams: 9323039
Artist: KHEA  Streams: 9311984
Artist: Roddy Ricch  Streams: 8998052
Artist: Harry Styles  Streams: 8911406
Artist: Calvin Harris  Streams: 8764785
Artist: StaySolidRocky  Streams: 8756312
Artist: Jerry Di  Streams: 8731653
Artist: Travis Scott  Streams: 8649995
Artist: Machine Gun Kelly  Streams: 8414556
Artist: Juice WRLD  Streams: 8363248
Artist: KAROL G  Streams: 8244825
Artist: Shawn Mendes  Streams: 8211986
Artist: Maroon 5  Streams: 8199195
Artist: Post Malone  Streams: 8174596
Artist: Trevor Daniel  Streams: 8121026
Artist: B?RNS  Streams: 7997646
Artist: Juice WRLD  Streams: 7894699
Artist: SZA  Streams: 7762540
Artist: Travis Scott  Streams: 7720407
Artist: Billie Eilish  Streams: 7594679
Artist: The Weeknd  Streams: 7536453
Artist:  Osquel  Streams:  Beltito & Sammy & Falsetto)"
Artist: Marshmello  Streams: 7438403
Artist: Taylor Swift  Streams: 7381141
Artist: ROSAL?A  Streams: 7282501
Artist: Pop Smoke  Streams: 7270847
Artist: Justin Bieber  Streams: 7171660
Artist: Billie Eilish  Streams: 7122731
Artist: Ozuna  Streams: 7050633
Artist: Doja Cat  Streams: 7049692
Artist: Anuel AA  Streams: 7048786
Artist: Travis Scott  Streams: 7046051
